domain,task,metric,arm_a,arm_b,n_a,n_b,median_a,median_b,mannwhitney_u,p_value,cliffs_delta
order-inventory,t1,wall_seconds,arm_a_evento,arm_b_spring,1,2,1236.1594379160017,615.298249937503,2.0,0.6666666666666666,1.0
order-inventory,t1,wall_seconds,arm_a_evento,arm_c_axon,1,1,1236.1594379160017,1411.0753867080057,0.0,1.0,-1.0
order-inventory,t1,wall_seconds,arm_b_spring,arm_c_axon,2,1,615.298249937503,1411.0753867080057,0.0,0.6666666666666666,-1.0
order-inventory,t1,tokens_out,arm_a_evento,arm_b_spring,1,2,67737.0,38478.5,1.0,1.0,0.0
order-inventory,t1,tokens_out,arm_a_evento,arm_c_axon,1,1,67737.0,73938.0,0.0,1.0,-1.0
order-inventory,t1,tokens_out,arm_b_spring,arm_c_axon,2,1,38478.5,73938.0,1.0,1.0,0.0
order-inventory,t1,cost_usd,arm_a_evento,arm_b_spring,1,2,2.68802815,0.998752225,2.0,0.6666666666666666,1.0
order-inventory,t1,cost_usd,arm_a_evento,arm_c_axon,1,1,2.68802815,3.1089862000000004,0.0,1.0,-1.0
order-inventory,t1,cost_usd,arm_b_spring,arm_c_axon,2,1,0.998752225,3.1089862000000004,0.0,0.6666666666666666,-1.0
order-inventory,t1,turns,arm_a_evento,arm_b_spring,1,2,96.0,25.0,2.0,0.6666666666666666,1.0
order-inventory,t1,turns,arm_a_evento,arm_c_axon,1,1,96.0,94.0,1.0,1.0,1.0
order-inventory,t1,turns,arm_b_spring,arm_c_axon,2,1,25.0,94.0,0.0,0.6666666666666666,-1.0
order-inventory,t1,rework_iterations,arm_a_evento,arm_b_spring,1,1,1.0,0.0,1.0,1.0,1.0
order-inventory,t1,rework_iterations,arm_a_evento,arm_c_axon,1,1,1.0,5.0,0.0,1.0,-1.0
order-inventory,t1,rework_iterations,arm_b_spring,arm_c_axon,1,1,0.0,5.0,0.0,1.0,-1.0
order-inventory,t1,rework_loc,arm_a_evento,arm_b_spring,1,1,45.0,0.0,1.0,1.0,1.0
order-inventory,t1,rework_loc,arm_a_evento,arm_c_axon,1,1,45.0,9.0,1.0,1.0,1.0
